Refcodes,Delta_conformational_energy(kJ/mol),components
DUYCUW01_DUYCUW,0.6814222697063315,1_1
EBIGUR02_EBIGUR04,4.599928509770507,1_1
EBYBUA01_EBYBUA,0.5912626001190233,1_1
ECOGUA01_ECOGUA,8.17300821700178,1_2
EFAWIT01_EFAWIT,0.12796687002912677,1_1
EFIKOU02_EFIKOU,11.74015954464926,1_1
EFUPEB01_EFUPEB,1.6583708198365912,1_1
EGLDBZ10_EGLDBZ11,8.926695142008612e-05,1_1
EGOPIB01_EGOPIB,13.643962104570619,1_1
EHANOT01_EHANOT,2.625472234285553e-05,1_1
EHULAV01_EHULAV,2.6255319312440406e-05,1_1
EJEQAL04_EJEQAL08,7.802565920263078,2_1
ELOJOG01_ELOJOG,4.360572177207075,1_1
EMAKUY01_EMAKUY,0.060097694618434616,1_1
EMULAB01_EMULAB,0.6421973002292134,1_1
ENSULF01_ENSULF02,5.251063862488081e-05,1_1
ENSULF01_ENSULF03,1.3703009605519583,1_2
ENSULF02_ENSULF03,1.3702484499133334,1_2
EPANEQ02_EPANEQ,0.2523893143359146,1_1
EPIFAM01_EPIFAM,0.11686100547206024,1_1
EQUZIZ01_EQUZIZ,25.6829298045609,1_2
ERIXAE01_ERIXAE,1.452479110075842,1_1
ESIVOR01_ESIVOR,2.34184097997354,1_1
ESIWUY02_ESIWUY,35.37940015054937,1_1
ESTRON11_ESTRON14,0.28585656350628597,1_1
ETEDOX01_ETEDOX02,1.3250110851439558,1_2
ETEDOX01_ETEDOX,5.2510041655295936e-05,1_1
ETEDOX02_ETEDOX,1.3249585751023005,2_1
ETEXIK02_ETEXIK,2.6255319312440406e-05,2_1
EVAWUU01_EVAWUU,30.75190388980377,1_1
EVETUV01_EVETUV,0.20035190484338727,1_1
FABRAB10_FABRAB11,0.0001312748056534474,1_1
FACSEI01_FACSEI,1.9934528831194598,1_1
FACZIT01_FACZIT,4.375639921452034,1_1
FADWUC01_FADWUC,14.557583595207007,1_1
FAFMOQ01_FAFMOQ,0.6254466100745049,1_1
FAHNOR05_FAHNOR,1.4364898152266505,1_1
FARPOF01_FARPOF02,0.1635161407691612,1_1
FARPOF01_FARPOF,0.00015752952799630293,1_1
FARPOF02_FARPOF,0.16367367029715751,1_1
FARRUM02_FARRUM03,0.6839952599565322,1_1
FAZTAC01_FAZTAC,5.209097020065201,1_1
FBPAZD02_FBPAZD07,5.5784261052341435,1_1
FDMUPD10_FDMUPD11,13.943479145175502,1_1
FECPUB01_FECPUB,0.0001312748056534474,1_1
FEFREP01_FEFREP02,0.0001312748056534474,1_2
FEFREP01_FEFREP03,0.000446335055585223,1_2
FEFREP01_FEFREP,0.0,1_1
FEFREP02_FEFREP03,0.000446335055585223,3_2
FEFREP02_FEFREP,0.0001312748056534474,2_1
FEFREP03_FEFREP,0.000446335055585223,2_1
FEGHAA06_FEGHAA07,0.00025729896532311614,1_1
FEGHAA06_FEGHAA14,7.87650624829439e-05,1_2
FEGHAA07_FEGHAA14,0.00027567756944790744,1_1
FEGWAP01_FEGWAP,0.00020216345143353465,1_1
FEHKOS01_FEHKOS,13.899213215281293,1_1
FEMMAL01_FEMMAL,6.684102920102077,1_1
FEPROJ01_FEPROJ02,2.1004076359076862e-05,1_1
FEPROJ01_FEPROJ,4.9319334870599505,1_1
FEPROJ02_FEPROJ,4.931912482983591,1_1
FEVKAT01_FEVKAT,9.364449614671685,1_1
FEVWUY01_FEVWUY,0.06881435496654831,2_1
FEYBIU01_FEYBIU,7.9857733099378265,1_1
FIFFAB01_FIFFAB,12.356075589625448,1_1
FIJBUW01_FIJBUW,7.409134745077381,1_1
FINBUB01_FINBUB,0.2786443148665967,1_1
FIQMIE01_FIQMIE,9.674389889889085,1_1
FIQWEI01_FIQWEI,4.789122040015172,1_1
FIRXUA01_FIRXUA,1.1128706852019832,1_1
FISSUV01_FISSUV,0.5374661048280132,1_1
FITYAL01_FITYAL02,15.372924743477881,1_2
FITYAL01_FITYAL,2.625472234285553e-06,1_1
FITYAL02_FITYAL,15.372927368950116,2_1
FITYOZ01_FITYOZ,7.35141180143728e-05,1_1
FITZAM01_FITZAM,1.6942036439658068,1_1
FIVBEU01_FIVBEU02,1.5899765446063157,1_1
FIVBEU01_FIVBEU,1.5899502898839728,2_1
FIVBEU02_FIVBEU,1.5899765446063157,1_1
FIVCIZ01_FIVCIZ,0.05925753514588905,2_1
FIZRUD01_FIZRUD02,2.742492280215629,1_1
FIZRUD01_FIZRUD,2.303587444774621,2_2
FIZRUD02_FIZRUD,2.7425185349379717,1_2
FOBSOE01_FOBSOE03,0.19759513034284737,1_1
FOBSOE01_FOBSOE,9.306609850053519,1_2
FOBSOE03_FOBSOE,9.504204980396366,1_2
FOCWUR01_FOCWUR,0.5234721903677837,1_1
FODMAO01_FODMAO,58.32800297950689,1_1
FOFHIU01_FOFHIU,4.034264535258444,2_1
FOGVIG04_FOGVIG05,0.6933157848882274,1_1
FOGWII03_FOGWII,14.25743643469923,1_1
FOLVEK01_FOLVEK,1.4829217823989893,1_1
FOMNEB01_FOMNEB03,5.987689045144066,1_1
FOMSUY01_FOMSUY,9.451789588865722e-05,2_2
FOMVIO02_FOMVIO,0.00034131497227463115,1_1
FONYUE01_FONYUE,0.5074041295606548,1_1
FOVBIC01_FOVBIC02,11.56640395471186,1_1
FOVRUE01_FOVRUE02,4.463362495243928e-05,1_1
FOVRUE01_FOVRUE03,4.2007854233361286e-05,1_1
FOVRUE01_FOVRUE04,1.837860412479131e-05,1_1
FOVRUE02_FOVRUE03,2.625770719077991e-06,1_1
FOVRUE02_FOVRUE04,2.6255020827647968e-05,1_1
FOVRUE03_FOVRUE04,2.3629250108569977e-05,1_1
FOVYOE11_FOVYOE,0.597461405432341,1_1
FOXREQ01_FOXREQ02,0.2087535049415692,1_1
FOXREQ01_FOXREQ,0.20883227030253693,1_1
FOXREQ02_FOXREQ,7.876536096773634e-05,1_1
FPAMCA17_FPAMCA18,0.023130654544615936,1_1
FPAMCA17_FPAMCA19,1.0016545047305954,1_1
FPAMCA18_FPAMCA19,0.9785238501859794,1_1
FUHHOG01_FUHHOG,0.00028880433364975033,2_1
FULPEH01_FULPEH,9.277519310258299,1_1
FUQLIM01_FUQLIM02,0.0001312748056534474,1_1
FUQLIM01_FUQLIM07,0.0001575301249658878,1_1
FUQLIM02_FUQLIM07,2.6255319312440406e-05,1_1
FUQWAQ01_FUQWAQ,2.625472234285553e-05,1_1
FURSEM03_FURSEM14,19.44019969006672,2_1
FURSEM03_FURSEM16,19.939254730167818,2_1
FURSEM14_FURSEM16,0.4990550401010978,1_1
FUXMOA01_FUXMOA,0.8262290968415869,1_1
FUYJAK01_FUYJAK,57.7279186998519,1_1
FUZMET01_FUZMET,0.09078191367046884,1_1
