filename,energy
APGPAL01_m_1_water_R,-1239.81757117
APGPAL01_m_1_water_xR,-1239.83508017
APGPAL_m_1_gas_R,-1239.7664776
APGPAL_m_1_gas_xR,-1239.79709219
APGPAL_m_1_water_R,-1239.81768396
APGPAL_m_1_water_xR,-1239.83216696
APLYSU10_m_1_gas_R,-3381.41905957
APLYSU10_m_1_gas_xR,-3381.42025343
APLYSU10_m_1_water_R,-3381.43917429
APLYSU10_m_1_water_xR,-3381.44041692
APLYSU11_m_1_gas_R,-3381.41922594
APLYSU11_m_1_gas_xR,-3381.42025346
APLYSU11_m_1_water_R,-3381.43928399
APLYSU11_m_1_water_xR,-3381.44041693
APUDEV01_m_1_gas_R,-3430.33413887
APUDEV01_m_1_gas_xR,-3430.33413887
APUDEV01_m_1_water_R,-3430.33676761
APUDEV01_m_1_water_xR,-3430.33676761
APUDEV_m_1_gas_R,-3430.34954494
APUDEV_m_1_gas_xR,-3430.34954494
APUDEV_m_1_water_R,-3430.35204757
APUDEV_m_1_water_xR,-3430.35204757
APUQOT01_m_1_gas_R,-6221.40345745
APUQOT01_m_1_gas_xR,-6221.40365979
APUQOT01_m_1_water_R,-6221.42686857
APUQOT01_m_1_water_xR,-6221.42687947
APUQOT_m_1_gas_R,-6221.40299115
APUQOT_m_1_gas_xR,-6221.40386085
APUQOT_m_1_water_R,-6221.42594424
APUQOT_m_1_water_xR,-6221.4271796
AQEMIT02_m_1_gas_R,-1735.52604881
AQEMIT02_m_1_gas_xR,-1735.52697942
AQEMIT02_m_1_water_R,-1735.55643385
AQEMIT02_m_1_water_xR,-1735.55652594
AQEMIT_m_1_gas_R,-1735.52628632
AQEMIT_m_1_gas_xR,-1735.52697942
AQEMIT_m_1_water_R,-1735.55665191
AQEMIT_m_1_water_xR,-1735.55731397
ATIWOP01_m_1_gas_R,-1773.17037573
ATIWOP01_m_1_gas_xR,-1773.17303487
ATIWOP01_m_1_water_R,-1773.18273461
ATIWOP01_m_1_water_xR,-1773.1860447
ATIWOP_m_1_gas_R,-1773.16249873
ATIWOP_m_1_gas_xR,-1773.17215149
ATIWOP_m_1_water_R,-1773.17403552
ATIWOP_m_1_water_xR,-1773.18515165
AWIHUK01_m_1_gas_R,-2216.86676358
AWIHUK01_m_1_gas_xR,-2216.88084509
AWIHUK01_m_1_water_R,-2216.90773692
AWIHUK01_m_1_water_xR,-2216.91805795
AWIHUK_m_1_gas_R,-2216.87366024
AWIHUK_m_1_gas_xR,-2216.88124303
