Refcodes,Delta_strain_energy,components
DOPPOP_DOPPOP01,0.39109447982446,1_1
DOQNAY_DOQNAY01,0.4537389099707525,1_1
DORDUM01_DORDUM02,3.2008783255895423,1_1
DORDUM01_DORDUM03,7.331892535290308,1_1
DORDUM01_DORDUM04,6.650627795111973,1_1
DORDUM01_DORDUM05,5.586460135040738,1_1
DORDUM01_DORDUM06,3.2337758407184083,1_1
DORDUM01_DORDUM07,2.1501532248396416,1_1
DORDUM01_DORDUM09,7.438619109886531,1_1
DORDUM01_DORDUM10,5.9517459493901015,1_1
DORDUM02_DORDUM03,4.131014209700766,1_1
DORDUM02_DORDUM04,3.4497494695224304,1_1
DORDUM02_DORDUM05,2.385581809451196,1_1
DORDUM02_DORDUM06,0.03289751512886596,1_1
DORDUM02_DORDUM07,1.0507251007499008,1_1
DORDUM02_DORDUM09,10.639497435476073,1_1
DORDUM02_DORDUM10,9.152624274979644,1_1
DORDUM03_DORDUM04,0.6812647401783352,1_1
DORDUM03_DORDUM05,1.7454324002495696,1_1
DORDUM03_DORDUM06,4.0981166945719,1_1
DORDUM03_DORDUM07,5.181739310450666,1_1
DORDUM03_DORDUM09,14.770511645176839,1_1
DORDUM03_DORDUM10,13.28363848468041,1_1
DORDUM04_DORDUM05,1.0641676600712344,1_1
DORDUM04_DORDUM06,3.4168519543935645,1_1
DORDUM04_DORDUM07,4.500474570272331,1_1
DORDUM04_DORDUM09,14.089246904998504,1_1
DORDUM04_DORDUM10,12.602373744502074,1_1
DORDUM05_DORDUM06,2.35268429432233,1_1
DORDUM05_DORDUM07,3.436306910201097,1_1
DORDUM05_DORDUM09,13.02507924492727,1_1
DORDUM05_DORDUM10,11.53820608443084,1_1
DORDUM06_DORDUM07,1.0836226158787667,1_1
DORDUM06_DORDUM09,10.67239495060494,1_1
DORDUM06_DORDUM10,9.18552179010851,1_1
DORDUM07_DORDUM09,9.588772334726173,1_1
DORDUM07_DORDUM10,8.101899174229743,1_1
DORDUM09_DORDUM10,1.4868731604964296,1_1
DOZYAS_DOZYAS01,1.2801412900691957,1_1
DPOBCO_DPOBCO01,0.3850663316987948,1_1
