Refcodes,Delta_conformational_energy(kJ/mol),components
CUPQUB01_CUPQUB,0.06802670523717325,1_1
CUPREM01_CUPREM02,0.2944498248684795,1_1
CUPREM01_CUPREM,0.0006826299445492623,1_1
CUPREM02_CUPREM,0.2937671949239302,1_1
CUTCUQ01_CUTCUQ02,0.5579712599762274,1_1
CYVINC01_CYVINC,3.026616013541229,1_1
DACMOR01_DACMOR,2.378939294853012,2_1
DADDER04_DADDER05,0.0024574679794682197,1_2
DADDER04_DADDER,7.87650624829439e-05,1_2
DADDER05_DADDER,0.002454842507233934,2_1
DADTEH02_DADTEH03,0.016566905307399793,1_1
DAHMII01_DAHMII,5.724718964876729,2_1
DAKXUI01_DAKXUI03,2.195075529956057,1_1
DAKXUI01_DAKXUI,1.063274989960064,1_1
DAKXUI03_DAKXUI,3.258350519916121,1_1
DANQEP01_DANQEP02,2.9606975848945467,1_1
DANQEP01_DANQEP,0.15605971962986587,1_1
DANQEP02_DANQEP,2.804637865264681,1_1
DARWAU01_DARWAU,1.2787471493885505,1_2
DASPAO01_DASPAO,1.3212382415463253,1_1
DAVVUR01_DAVVUR,0.023918305169445375,1_1
DAXSOM01_DAXSOM,0.004620880083848533,1_1
DAXTIH01_DAXTIH,0.003785970958801954,1_1
DBXZCP01_DBXZCP,3.675690976479018e-05,1_1
DCLMAN01_DCLMAN,7.876536096773634e-05,2_1
DCLNAP01_DCLNAP02,0.0012602398057879327,2_2
DEDMUX01_DEDMUX02,0.03463034471258197,1_1
DEDMUX01_DEDMUX,5.2510041655295936e-05,1_1
DEDMUX02_DEDMUX,0.03457783467092668,1_1
DEFZEV01_DEFZEV,2.625472234285553e-05,1_1
DEHREN01_DEHREN,4.699634497886507,1_1
DEKDIG01_DEKDIG,1.6205898750125698,1_1
DEWCAK01_DEWCAK,7.2274764001390395,1_1
DEXVEH01_DEXVEH,0.07057344046654634,1_1
DICNIM01_DICNIM,0.19344683943995733,1_1
DIFVET01_DIFVET02,7.33378289440202,1_1
DIFVET01_DIFVET,7.316638379233382,1_1
DIFVET02_DIFVET,0.017144515168638463,1_1
DILYEC01_DILYEC,2.6255319312440406e-05,1_1
DIVGOH01_DIVGOH,3.0486518342247564,1_1
DIXBIW01_DIXBIW,1.0811283897955946,1_1
DIZCOH01_DIZCOH,5.776098612386704e-05,1_1
DMFUSC03_DMFUSC04,4.725909718672483e-05,1_1
DOHBOC01_DOHBOC,0.06579503025773192,1_1
DOLJET01_DOLJET,0.0820731300375428,1_1
DONTIJ03_DONTIJ,9.69229580036324,1_1
DOPPOP01_DOPPOP,0.0,1_1
DOQNAY01_DOQNAY,7.784423714899958,1_1
DORDUM01_DORDUM02,9.523397384801683,1_1
