Refcodes,Delta_strain_energy,components
DEFZEV_DEFZEV01,1.1406222198304476,1_1
DEHREN_DEHREN01,0.3480809133193361,1_1
DEKDIG_DEKDIG01,4.22188276485042,1_1
DEWCAK_DEWCAK01,1.5843579755219253,1_1
DEXVEH_DEXVEH01,3.4412428499379075,1_1
DICNIM_DICNIM01,1.4392728444495333,1_1
DIFVET_DIFVET01,1.3499533346332555,1_1
DIFVET_DIFVET02,0.9760821353384017,1_1
DIFVET01_DIFVET02,2.326035469971657,1_1
DILYEC_DILYEC01,0.6456367046743026,1_1
DIVGOH_DIVGOH01,0.6179901901291487,1_1
DIXBIW_DIXBIW01,1.0431899148466073,1_1
DIZCOH_DIZCOH01,0.37881764181605604,1_1
DMFUSC03_DMFUSC04,0.9800492653737933,1_1
DOHBOC_DOHBOC01,4.737399689578638,1_1
DOLJET_DOLJET01,6.594127035063593,1_1
DONTIJ_DONTIJ03,4.271215909287093,1_1
DOPPOP_DOPPOP01,2.698016309557829,1_1
DOQNAY_DOQNAY01,0.48831674523864876,1_1
DORDUM01_DORDUM02,6.065272569903414,1_2
DORDUM01_DORDUM03,2.9960893249126457,1_1
DORDUM01_DORDUM04,3.669215014604106,1_1
DORDUM01_DORDUM05,5.651625045395576,1_1
DORDUM01_DORDUM06,4.4272231194722735,1_1
DORDUM01_DORDUM07,6.520009170068647,1_1
DORDUM01_DORDUM09,4.100322115127483,1_1
DORDUM01_DORDUM10,9.964717680367926,1_1
DORDUM02_DORDUM03,3.069183244990768,2_1
DORDUM02_DORDUM04,9.73448758450752,2_1
DORDUM02_DORDUM05,0.41364752450783726,2_1
DORDUM02_DORDUM06,10.492495689375687,2_1
DORDUM02_DORDUM07,0.45473660016523354,2_1
DORDUM02_DORDUM09,1.9649504547759307,2_1
DORDUM02_DORDUM10,3.8994451104645123,2_1
DORDUM03_DORDUM04,6.6653043395167515,1_1
DORDUM03_DORDUM05,2.6555357204829306,1_1
DORDUM03_DORDUM06,7.423312444384919,1_1
DORDUM03_DORDUM07,3.5239198451560014,1_1
DORDUM03_DORDUM09,1.1042327902148372,1_1
DORDUM03_DORDUM10,6.96862835545528,1_1
DORDUM04_DORDUM05,9.320840059999682,1_1
DORDUM04_DORDUM06,0.7580081048681677,1_1
DORDUM04_DORDUM07,10.189224184672753,1_1
DORDUM04_DORDUM09,7.769537129731589,1_1
DORDUM04_DORDUM10,13.633932694972032,1_1
DORDUM05_DORDUM06,10.07884816486785,1_1
DORDUM05_DORDUM07,0.8683841246730708,1_1
DORDUM05_DORDUM09,1.5513029302680934,1_1
DORDUM05_DORDUM10,4.3130926349723495,1_1
DORDUM06_DORDUM07,10.94723228954092,1_1
DORDUM06_DORDUM09,8.527545234599756,1_1
DORDUM06_DORDUM10,14.3919407998402,1_1
DORDUM07_DORDUM09,2.419687054941164,1_1
DORDUM07_DORDUM10,3.4447085102992787,1_1
DORDUM09_DORDUM10,5.864395565240443,1_1
DOZYAS_DOZYAS01,1.808339380007169,1_1
DPOBCO_DPOBCO01,0.58379567828473,1_1
DUMVAJ_DUMVAJ01,7.249399324919523,1_1
DUNNIJ_DUNNIJ01,4.1045491701974015,1_1
DUNWOZ_DUNWOZ01,0.0453161301303453,1_1
DUVZOJ02_DUVZOJ03,0.8887790090919907,1_4
DUYCUW_DUYCUW01,2.6692670847348836,1_1
EBIGUR02_EBIGUR04,37.344665664978265,1_1
EBYBUA_EBYBUA01,12.650013442632485,1_1
ECOGUA_ECOGUA01,0.0,1_1
EFAWIT_EFAWIT01,0.5767698399645838,1_1
EFIKOU_EFIKOU02,3.945890204401053,1_1
EFUPEB_EFUPEB01,2.3024584797744865,1_1
EGLDBZ10_EGLDBZ11,0.6559943024809627,1_1
EGOPIB_EGOPIB01,2.6255916282025282e-05,1_2
EHANOT_EHANOT01,1.7152916596212435,1_1
EHULAV_EHULAV01,0.2648341846567064,1_1
EJEQAL04_EJEQAL08,7.819500395265095,2_1
ELOJOG_ELOJOG01,2.530307246350219,1_1
EMAKUY_EMAKUY01,0.2829501370883918,1_1
EMULAB_EMULAB01,0.5343680153551986,1_1
ENSULF01_ENSULF02,0.0,1_1
ENSULF01_ENSULF03,0.0,1_1
ENSULF02_ENSULF03,0.0,1_1
EPANEQ_EPANEQ02,37.115301985700626,1_1
EPIFAM_EPIFAM01,1.0378864048182095,1_1
EQUZIZ_EQUZIZ01,6.661129795085458,2_1
ERIXAE_ERIXAE01,2.7914316002353416,1_1
ESIVOR_ESIVOR01,2.2348781098913832,1_1
ESIWUY_ESIWUY02,2.679060202429355,1_1
ESTRON11_ESTRON14,0.2854023520339979,1_1
ETEDOX_ETEDOX01,12.007487954792168,1_1
ETEDOX_ETEDOX02,14.634589509508146,1_1
ETEDOX01_ETEDOX02,2.6271015547159777,1_1
ETEXIK_ETEXIK02,0.37287350969734234,2_1
EVAWUU_EVAWUU01,0.05040959999212191,1_1
EVETUV_EVETUV01,2.8625038846051893,2_1
FABRAB10_FABRAB11,2.7009043600579616,1_1
FACSEI_FACSEI01,1.0864213979350552,1_1
FACZIT_FACZIT01,0.0,1_1
FADWUC_FADWUC01,304.6860193800326,1_1
FAFMOQ_FAFMOQ01,3.9128089050218477,1_1
FAHNOR_FAHNOR05,0.23443089501404302,1_1
FARPOF_FARPOF01,5.720990754904051,1_1
FARPOF_FARPOF02,8.213640455117684,1_1
FARPOF01_FARPOF02,2.492649700213633,1_1
FARRUM02_FARRUM03,7.09869562535971,1_1
FAZTAC_FAZTAC01,4.555951384806917,1_2
FBPAZD02_FBPAZD07,3.1039711198283158,1_1
FDMUPD10_FDMUPD11,2.478760804642775,1_1
FECPUB_FECPUB01,0.19738509017622619,1_1
FEFREP_FEFREP01,0.0,1_1
FEFREP_FEFREP02,0.0,1_1
FEFREP_FEFREP03,0.0,1_1
FEFREP01_FEFREP02,0.0,1_1
FEFREP01_FEFREP03,0.0,1_1
FEFREP02_FEFREP03,0.0,1_1
FEGHAA06_FEGHAA07,2.8772907009332016,2_2
FEGHAA06_FEGHAA14,1.420182834655293,2_2
FEGHAA07_FEGHAA14,4.2974735355884945,2_2
FEGWAP_FEGWAP01,2.2529730558588312,1_1
FEHKOS_FEHKOS01,0.7888052201217306,1_1
FEMMAL_FEMMAL01,3.9828309897525287,1_1
FEPROJ_FEPROJ01,5.6043082839318,1_1
FEPROJ_FEPROJ02,2.5134987955078714,1_1
FEPROJ01_FEPROJ02,3.090809488423929,1_1
FEVKAT_FEVKAT01,5.08522592970337,1_1
FEVWUY_FEVWUY01,0.9943818702295175,1_2
FEYBIU_FEYBIU01,2.634085384883406,1_1
FIFFAB_FIFFAB01,0.19580979012050648,1_1
FIJBUW_FIJBUW01,2.5682903540287043,1_1
FINBUB_FINBUB01,0.57540458037397,1_1
FIQMIE_FIQMIE01,2.3268493753188295,1_1
FIQWEI_FIQWEI01,3.358460834636503,1_1
FIRXUA_FIRXUA01,1.3504259250081532,1_1
FISSUV_FISSUV01,0.4263549450369055,1_1
FITYAL_FITYAL01,0.08105181089143798,1_1
FITYAL_FITYAL02,1.0355418333387547,1_2
FITYAL01_FITYAL02,1.1165936442301927,1_2
FITYOZ_FITYOZ01,0.25503319353038023,1_1
FITZAM_FITZAM01,0.7640861378617387,1_1
FIVBEU_FIVBEU01,5.218653839288891,1_2
FIVBEU_FIVBEU02,0.6727056093582178,1_2
FIVBEU01_FIVBEU02,4.545948229930673,2_2
FIVCIZ_FIVCIZ01,2.072805994969258,1_1
FIZRUD_FIZRUD01,0.7730522201615031,1_2
FIZRUD_FIZRUD02,0.029169305156187875,1_1
FIZRUD01_FIZRUD02,0.7438829150053152,2_1
FOBSOE_FOBSOE01,0.23201543429183857,1_1
FOBSOE_FOBSOE03,2.394771059577238,1_1
FOBSOE01_FOBSOE03,2.162755625285399,1_1
FOCWUR_FOCWUR01,3.996982435531663,1_1
FODMAO_FODMAO01,2.334332050583498,1_1
FOFHIU_FOFHIU01,1.9586230004276786,1_1
FOGVIG04_FOGVIG05,9.29340358442721,1_1
FOGWII_FOGWII03,18.953274460036482,1_1
FOLVEK_FOLVEK01,2.8842850332880516,1_1
FOMNEB01_FOMNEB03,1.5081397100547065,1_2
FOMSUY_FOMSUY01,0.08029829200262384,2_1
FOMVIO_FOMVIO02,3.2571165342357062,1_1
FONYUE_FONYUE01,9.778018375609463,1_1
FOVBIC01_FOVBIC02,2.858723164590856,1_1
FOVRUE01_FOVRUE02,2.121511645572241,1_1
FOVRUE01_FOVRUE03,0.1175987706320143,1_1
FOVRUE01_FOVRUE04,0.25628030597499674,1_1
FOVRUE02_FOVRUE03,2.239110416204255,1_1
FOVRUE02_FOVRUE04,2.3777919515472377,1_1
FOVRUE03_FOVRUE04,0.13868153534298244,1_1
FOVYOE_FOVYOE11,0.2279511611868088,1_1
FOXREQ_FOXREQ01,1.0241025305246012,1_1
FOXREQ_FOXREQ02,6.340635010449887,1_1
FOXREQ01_FOXREQ02,5.316532479925286,1_1
FPAMCA17_FPAMCA18,0.0230518891836482,1_1
FPAMCA17_FPAMCA19,0.8478002044623736,1_1
FPAMCA18_FPAMCA19,0.8247483152787254,1_1
FUHHOG_FUHHOG01,0.6915567005821686,1_1
FULPEH_FULPEH01,6.664332904641583,1_1
FUQLIM01_FUQLIM02,1.0655591746826758,1_1
FUQLIM01_FUQLIM07,0.5626709045255893,1_1
FUQLIM02_FUQLIM07,0.5028882701570865,1_1
FUQWAQ_FUQWAQ01,1.1808973901406716,1_1
FURSEM03_FURSEM14,2.3055303157188973,2_1
FURSEM03_FURSEM16,0.3782557850867079,2_1
FURSEM14_FURSEM16,1.9272745306321895,1_1
FUXMOA_FUXMOA01,0.6894300447905835,1_1
FUYJAK_FUYJAK01,18.0822123250299,1_1
FUZMET_FUZMET01,0.11050204396457275,1_1
GADSIO_GADSIO01,0.1826534095113459,2_1
GADSUA_GADSUA01,5.83714287451528,1_2
GAFPEI_GAFPEI01,0.4052196696873125,1_1
GAKWIA_GAKWIA01,6.406377529472024,1_1
GEDSAM_GEDSAM01,2.204763625179339,1_1
GEKGOV_GEKGOV02,3.10136137326532,1_2
GENQIB_GENQIB01,14.05115090052152,1_1
GESNUN_GESNUN01,6.090346095392306,1_1
GEVZEP_GEVZEP01,1.6308030694584659,1_1
GEWBAO_GEWBAO01,0.17543591007643045,1_1
GIGQUI_GIGQUI01,1.3215191694632722,1_1
GIKBOT_GIKBOT01,1.5553462004907033,1_1
GINBIP_GINBIP01,0.1069917505752187,1_2
GINKIZ_GINKIZ01,0.15540334500462905,1_1
GISNOM_GISNOM01,0.07758352475934771,1_1
GIVJUQ_GIVJUQ01,4.136317719729163,1_1
GIVJUQ_GIVJUQ02,2.3489035749049663,1_1
